LOT_ID,WAFER_ID,X_LOC,Y_LOC,HARD_BIN,TEST_NAME,RESULT
LOT123,W01,-8,-3,1,GAIN_DB,12.274
LOT123,W01,-8,-3,1,NF_DB,1.797
LOT123,W01,-8,-3,1,IP3_DBM,18.037
LOT123,W01,-8,-3,1,IDQ_MA,43.34
LOT123,W01,-8,-2,1,GAIN_DB,11.970
LOT123,W01,-8,-2,1,NF_DB,2.241
LOT123,W01,-8,-2,1,IP3_DBM,16.270
LOT123,W01,-8,-2,1,IDQ_MA,47.64
LOT123,W01,-8,-1,1,GAIN_DB,11.867
LOT123,W01,-8,-1,1,NF_DB,1.961
LOT123,W01,-8,-1,1,IP3_DBM,17.238
LOT123,W01,-8,-1,1,IDQ_MA,44.86
LOT123,W01,-8,0,1,GAIN_DB,12.851
LOT123,W01,-8,0,1,NF_DB,1.902
LOT123,W01,-8,0,1,IP3_DBM,16.922
LOT123,W01,-8,0,1,IDQ_MA,43.19
LOT123,W01,-8,1,1,GAIN_DB,12.168
LOT123,W01,-8,1,1,NF_DB,2.321
LOT123,W01,-8,1,1,IP3_DBM,18.458
LOT123,W01,-8,1,1,IDQ_MA,38.85
LOT123,W01,-8,2,1,GAIN_DB,11.516
LOT123,W01,-8,2,1,NF_DB,1.800
LOT123,W01,-8,2,1,IP3_DBM,16.575
LOT123,W01,-8,2,1,IDQ_MA,45.38
LOT123,W01,-8,3,1,GAIN_DB,13.171
LOT123,W01,-8,3,1,NF_DB,2.306
LOT123,W01,-8,3,1,IP3_DBM,18.445
LOT123,W01,-8,3,1,IDQ_MA,49.60
LOT123,W01,-7,-5,1,GAIN_DB,11.825
LOT123,W01,-7,-5,1,NF_DB,1.782
LOT123,W01,-7,-5,1,IP3_DBM,17.980
LOT123,W01,-7,-5,1,IDQ_MA,41.15
LOT123,W01,-7,-4,1,GAIN_DB,13.589
LOT123,W01,-7,-4,1,NF_DB,2.687
LOT123,W01,-7,-4,1,IP3_DBM,18.140
LOT123,W01,-7,-4,1,IDQ_MA,41.32
LOT123,W01,-7,-3,1,GAIN_DB,12.415
LOT123,W01,-7,-3,1,NF_DB,1.722
LOT123,W01,-7,-3,1,IP3_DBM,19.994
LOT123,W01,-7,-3,1,IDQ_MA,48.58
LOT123,W01,-7,-2,1,GAIN_DB,13.798
LOT123,W01,-7,-2,1,NF_DB,1.738
LOT123,W01,-7,-2,1,IP3_DBM,16.804
LOT123,W01,-7,-2,1,IDQ_MA,33.61
LOT123,W01,-7,-1,1,GAIN_DB,10.940
LOT123,W01,-7,-1,1,NF_DB,2.028
LOT123,W01,-7,-1,1,IP3_DBM,17.229
LOT123,W01,-7,-1,1,IDQ_MA,46.62
LOT123,W01,-7,0,1,GAIN_DB,12.068
LOT123,W01,-7,0,1,NF_DB,1.715
LOT123,W01,-7,0,1,IP3_DBM,17.242
LOT123,W01,-7,0,1,IDQ_MA,46.47
LOT123,W01,-7,1,1,GAIN_DB,11.889
LOT123,W01,-7,1,1,NF_DB,2.461
LOT123,W01,-7,1,1,IP3_DBM,17.885
LOT123,W01,-7,1,1,IDQ_MA,48.43
LOT123,W01,-7,2,1,GAIN_DB,13.124
LOT123,W01,-7,2,1,NF_DB,2.221
LOT123,W01,-7,2,1,IP3_DBM,21.671
LOT123,W01,-7,2,1,IDQ_MA,46.73
LOT123,W01,-7,3,1,GAIN_DB,13.521
LOT123,W01,-7,3,1,NF_DB,2.115
LOT123,W01,-7,3,1,IP3_DBM,19.467
LOT123,W01,-7,3,1,IDQ_MA,39.05
LOT123,W01,-7,4,1,GAIN_DB,12.609
LOT123,W01,-7,4,1,NF_DB,1.607
LOT123,W01,-7,4,1,IP3_DBM,18.693
LOT123,W01,-7,4,1,IDQ_MA,48.82
LOT123,W01,-7,5,1,GAIN_DB,12.059
LOT123,W01,-7,5,1,NF_DB,2.220
LOT123,W01,-7,5,1,IP3_DBM,17.368
LOT123,W01,-7,5,1,IDQ_MA,47.88
LOT123,W01,-6,-6,1,GAIN_DB,11.973
LOT123,W01,-6,-6,1,NF_DB,1.832
LOT123,W01,-6,-6,1,IP3_DBM,18.878
LOT123,W01,-6,-6,1,IDQ_MA,38.54
LOT123,W01,-6,-5,1,GAIN_DB,13.260
LOT123,W01,-6,-5,1,NF_DB,2.198
LOT123,W01,-6,-5,1,IP3_DBM,18.014
LOT123,W01,-6,-5,1,IDQ_MA,40.37
LOT123,W01,-6,-4,1,GAIN_DB,13.352
LOT123,W01,-6,-4,1,NF_DB,2.228
LOT123,W01,-6,-4,1,IP3_DBM,16.081
LOT123,W01,-6,-4,1,IDQ_MA,42.38
LOT123,W01,-6,-3,1,GAIN_DB,12.693
LOT123,W01,-6,-3,1,NF_DB,2.029
LOT123,W01,-6,-3,1,IP3_DBM,21.577
LOT123,W01,-6,-3,1,IDQ_MA,46.66
LOT123,W01,-6,-2,1,GAIN_DB,12.625
LOT123,W01,-6,-2,1,NF_DB,1.904
LOT123,W01,-6,-2,1,IP3_DBM,17.881
LOT123,W01,-6,-2,1,IDQ_MA,44.90
LOT123,W01,-6,-1,1,GAIN_DB,12.511
LOT123,W01,-6,-1,1,NF_DB,2.314
LOT123,W01,-6,-1,1,IP3_DBM,20.265
LOT123,W01,-6,-1,1,IDQ_MA,33.42
LOT123,W01,-6,0,1,GAIN_DB,12.178
LOT123,W01,-6,0,1,NF_DB,2.281
LOT123,W01,-6,0,1,IP3_DBM,19.454
LOT123,W01,-6,0,1,IDQ_MA,43.28
LOT123,W01,-6,1,1,GAIN_DB,11.862
LOT123,W01,-6,1,1,NF_DB,2.192
LOT123,W01,-6,1,1,IP3_DBM,17.759
LOT123,W01,-6,1,1,IDQ_MA,44.41
LOT123,W01,-6,2,1,GAIN_DB,12.702
LOT123,W01,-6,2,1,NF_DB,2.240
LOT123,W01,-6,2,1,IP3_DBM,17.853
LOT123,W01,-6,2,1,IDQ_MA,43.51
LOT123,W01,-6,3,1,GAIN_DB,11.850
LOT123,W01,-6,3,1,NF_DB,1.711
LOT123,W01,-6,3,1,IP3_DBM,19.890
LOT123,W01,-6,3,1,IDQ_MA,52.95
LOT123,W01,-6,4,1,GAIN_DB,12.983
LOT123,W01,-6,4,1,NF_DB,2.101
LOT123,W01,-6,4,1,IP3_DBM,17.315
LOT123,W01,-6,4,1,IDQ_MA,49.25
LOT123,W01,-6,5,1,GAIN_DB,13.477
LOT123,W01,-6,5,1,NF_DB,1.761
LOT123,W01,-6,5,1,IP3_DBM,18.427
LOT123,W01,-6,5,1,IDQ_MA,42.81
LOT123,W01,-6,6,1,GAIN_DB,12.732
LOT123,W01,-6,6,1,NF_DB,2.099
LOT123,W01,-6,6,1,IP3_DBM,16.760
LOT123,W01,-6,6,1,IDQ_MA,47.73
LOT123,W01,-5,-7,1,GAIN_DB,12.783
LOT123,W01,-5,-7,1,NF_DB,1.917
LOT123,W01,-5,-7,1,IP3_DBM,17.658
LOT123,W01,-5,-7,1,IDQ_MA,52.37
LOT123,W01,-5,-6,1,GAIN_DB,12.560
