SITE,DEVICE_ID,HEAD_NUM,X_COORD,Y_COORD,TEST_NUM,TEST_NAME,RESULT_FLG,MEAS_VALUE,UNITS,LO_LIMIT,HI_LIMIT,HBIN,SBIN
1,DIE_0001,1,0,0,1001,IDD_QUIESCENT,P,2.1,uA,0.1,5.0,1,0
1,DIE_0001,1,0,0,1002,VOLTAGE_REGULATION,P,45,mV,0,75,1,0
1,DIE_0001,1,0,0,1003,FREQ_MAX,P,2100,MHz,1800,2500,1,0
1,DIE_0002,1,1,0,1001,IDD_QUIESCENT,P,2.3,uA,0.1,5.0,1,0
1,DIE_0002,1,1,0,1002,VOLTAGE_REGULATION,P,48,mV,0,75,1,0
1,DIE_0002,1,1,0,1003,FREQ_MAX,P,2098,MHz,1800,2500,1,0
1,DIE_0003,1,2,0,1001,IDD_QUIESCENT,P,2.2,uA,0.1,5.0,1,0
1,DIE_0003,1,2,0,1002,VOLTAGE_REGULATION,P,46,mV,0,75,1,0
1,DIE_0003,1,2,0,1003,FREQ_MAX,P,2102,MHz,1800,2500,1,0
1,DIE_0004,1,0,1,1001,IDD_QUIESCENT,P,2.5,uA,0.1,5.0,1,0
1,DIE_0004,1,0,1,1002,VOLTAGE_REGULATION,P,50,mV,0,75,1,0
1,DIE_0004,1,0,1,1003,FREQ_MAX,P,2096,MHz,1800,2500,1,0
1,DIE_0005,1,1,1,1001,IDD_QUIESCENT,P,2.2,uA,0.1,5.0,1,0
1,DIE_0005,1,1,1,1002,VOLTAGE_REGULATION,P,47,mV,0,75,1,0
1,DIE_0005,1,1,1,1003,FREQ_MAX,P,2101,MHz,1800,2500,1,0
1,DIE_0006,1,2,1,1001,IDD_QUIESCENT,P,2.4,uA,0.1,5.0,1,0
1,DIE_0006,1,2,1,1002,VOLTAGE_REGULATION,P,49,mV,0,75,1,0
1,DIE_0006,1,2,1,1003,FREQ_MAX,P,2099,MHz,1800,2500,1,0
1,DIE_0007,1,2,2,1001,IDD_QUIESCENT,F,15.8,uA,0.1,5.0,2,8
1,DIE_0007,1,2,2,1002,VOLTAGE_REGULATION,F,92,mV,0,75,2,8
1,DIE_0007,1,2,2,1003,FREQ_MAX,F,1850,MHz,1800,2500,2,8
1,DIE_0008,1,0,3,1001,IDD_QUIESCENT,F,14.2,uA,0.1,5.0,2,8
1,DIE_0008,1,0,3,1002,VOLTAGE_REGULATION,F,88,mV,0,75,2,8
1,DIE_0008,1,0,3,1003,FREQ_MAX,F,1890,MHz,1800,2500,2,8
1,DIE_0009,1,-4,0,1001,IDD_QUIESCENT,P,1.9,uA,0.1,5.0,3,0
1,DIE_0009,1,-4,0,1002,VOLTAGE_REGULATION,P,12,mV,0,75,3,0
1,DIE_0009,1,-4,0,1003,FREQ_MAX,P,2110,MHz,1800,2500,3,0
1,DIE_0010,1,0,0,1001,IDD_QUIESCENT,P,2.2,uA,0.1,5.0,1,0
1,DIE_0010,1,0,0,1002,VOLTAGE_REGULATION,P,46,mV,0,75,1,0
1,DIE_0010,1,0,0,1003,FREQ_MAX,P,2100,MHz,1800,2500,1,0
1,DIE_0011,1,1,0,1001,IDD_QUIESCENT,P,2.4,uA,0.1,5.0,1,0
1,DIE_0011,1,1,0,1002,VOLTAGE_REGULATION,P,49,mV,0,75,1,0
1,DIE_0011,1,1,0,1003,FREQ_MAX,P,2098,MHz,1800,2500,1,0
1,DIE_0012,1,2,1,1001,IDD_QUIESCENT,F,15.3,uA,0.1,5.0,2,8
1,DIE_0012,1,2,1,1002,VOLTAGE_REGULATION,F,89,mV,0,75,2,8
1,DIE_0012,1,2,1,1003,FREQ_MAX,F,1870,MHz,1800,2500,2,8
1,DIE_0013,1,-1,1,1001,IDD_QUIESCENT,F,14.5,uA,0.1,5.0,2,8
1,DIE_0013,1,-1,1,1002,VOLTAGE_REGULATION,F,87,mV,0,75,2,8
1,DIE_0013,1,-1,1,1003,FREQ_MAX,F,1900,MHz,1800,2500,2,8
